Case_Status,Class_Of_Admission,Decision_Date,Employer_Name,Employer_State,Job_Title,US_Economic_Sector,Wage_Offer,Wage_Offer_Unit
Certified-Expired,Others,10/27/2011,B & B RESIDENTIAL FACILITIES INC.,CA,Home Health Aides,Health Care,19053,Annually
Certified-Expired,Others,10/25/2011,B & B RESIDENTIAL FACILITIES INC.,CA,Home Health Aides,Health Care,19053,Annually
Certified-Expired,Others,10/28/2011,"MANAGED CARE, INC.",CA,Home Health Aides,Hospitality,19053,Annually
Certified,Others,11/9/2011,CUSTOMCRAFT UPHOLSTERS INC,CA,Upholsterers,Other Economic Sector,19906,Annually
Denied,Others,10/27/2011,"SHUBH ENTERPRISES, INC. DBA PARK POINT MONTESSORI NORTH",TX,"Preschool Teachers, Except Special Education",Educational Services,19947,Annually
Denied,Others,11/22/2011,HAMPTON INN AND SUITES,CA,"Hotel, Motel, and Resort Desk Clerks",Hospitality,20000,Annually
Denied,Others,10/25/2011,ROLLING HILLS COUNTRY CLUB,CA,Landscaping and Groundskeeping Workers,Other Economic Sector,20134,Annually
Certified,Others,12/20/2011,ESTRADA'S MEXICAN FOOD,CA,"Cooks, Restaurant",Hospitality,20696,Annually
Denied,Others,10/25/2011,"PAC WEST LAND CARE, INC.",CA,Landscaping and Groundskeeping Workers,Other Economic Sector,21403,Annually
Denied,Others,10/27/2011,FRENCH MARKET FOODS,LA,"Meat, Poultry, and Fish Cutters and Trimmers",Agribusiness,21466,Annually
Certified-Expired,Others,10/17/2011,DAVID CUMMINGS,NC,Nannies,Other Economic Sector,22069,Annually
Certified,F-1,12/6/2011,MYRON CISLO,IL,Nannies,Other Economic Sector,23005,Annually
Certified,Others,12/7/2011,GARY TANTLEFF,NJ,Maids and Housekeeping Cleaners,Other Economic Sector,23150,Annually
Certified-Expired,B-1,10/20/2011,ANA CHADWICK,CT,Nannies,Other Economic Sector,23483,Annually
Denied,Others,11/14/2011,"NAWAB OF RALEIGH, INC",NC,"Cooks, Restaurant",Hospitality,23546,Annually
Denied,Others,10/28/2011,R & J ENTERPRISE LLC,SC,Stock Clerks and Order Fillers,Retail,23608,Annually
Certified,Others,11/8/2011,"ROCKVILLE GOURMET HALAL MEAT MARKET, INC.",MD,"Cooks, All Other",Retail,23899,Annually
Certified-Expired,Others,10/28/2011,ALBERT FRANCKE,NY,Maids and Housekeeping Cleaners,Other Economic Sector,23982,Annually
Certified-Expired,Others,10/20/2011,"THE NEW MARYLAND CLOTHING MANUFACTURING, INC.",MD,Sewing Machine Operators,Advanced Mfg,24050,Annually
Denied,F-1,10/25/2011,"HANGBOK, INC.",GA,"Cooks, Restaurant",Hospitality,24107,Annually
Certified,Others,12/12/2011,COMMUNITY POOL SERVICE,MD,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Other Economic Sector,24107,Annually
Certified-Expired,Others,10/28/2011,"DAVID FAWKES RACING, INC.",FL,Nonfarm Animal Caretakers,Other Economic Sector,24294,Annually
Certified-Expired,Others,10/27/2011,25 SOUTH PEARL LLC D/B/A RJ'S DOG HOUSE & CUSTARD,NJ,"Cooks, Restaurant",Hospitality,24440,Annually
Certified-Expired,Others,10/20/2011,CHONGSHAN CHEN,VA,Child Care Workers,Other Economic Sector,24690,Annually
Certified,Others,12/12/2011,JAMES ALAN HILL,VA,Nannies,Other Economic Sector,24690,Annually
Certified-Expired,J-1,10/14/2011,"LIFE BEYOND ABUSE, INC.",PA,"Child, Family, and School Social Workers",Other Economic Sector,24939,Annually
Denied,Others,12/16/2011,KASSEL CORPORATION (KING TUT CAFE),AZ,"Cooks, Restaurant",Hospitality,24960,Annually
Certified-Expired,Others,10/27/2011,"ICOBO, INC. DBA EXCELCARE",CA,"Nursing Aides, Orderlies, and Attendants",Health Care,25000,Annually
Denied,Others,10/21/2011,WASEEM HAIDER,VA,Nannies,Other Economic Sector,25000,Annually
Certified-Expired,Others,10/24/2011,M & T CHOP SUEY CORPORATION,IL,"Cooks, Restaurant",Hospitality,25106,Annually
Certified-Expired,Others,10/19/2011,HANA SHIN INC,CO,Manicurists and Pedicurists,Other Economic Sector,25293,Annually
Certified-Expired,Others,10/21/2011,ICCV,CA,Home Health Aides,Health Care,25293,Annually
Denied,Others,12/20/2011,"SCHADE'S DELI-RESTAURANT, INC",NY,"Cooks, Restaurant",Hospitality,25397,Annually
Denied,F-1,10/25/2011,"KUKJE, INC.",CA,Food Preparation Workers,Retail,25480,Annually
Denied,Others,12/14/2011,MINNELL CONCEPTS,CA,First-Line Supervisors/Managers of Retail Sales Workers,Transportation,25501,Annually
Denied,Others,10/26/2011,FRANCESCAS SANTORELLI,NY,Nannies,Other Economic Sector,25563,Annually
Certified-Expired,Others,10/21/2011,BRIGHT LAND FARM,VA,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Agribusiness,25605,Annually
Certified-Expired,Others,10/21/2011,JOHN KEVIN BRANDBERGH,NJ,Maids and Housekeeping Cleaners,Other Economic Sector,25605,Annually
Certified,H-1B,12/9/2011,BEHLEN MFG. CO.,NE,Interpreters and Translators,Advanced Mfg,26000,Annually
Certified,Others,11/3/2011,M J DRAPERIES CORPORATION,TX,Fabric and Apparel Patternmakers,Advanced Mfg,26000,Annually
Denied,F-1,12/20/2011,58 EAST COLORADO CORPORATION,CA,"Cooks, Restaurant",Hospitality,26541,Annually
Denied,Others,10/24/2011,SHAHZ BROTHERS INC.,TX,First-Line Supervisors/Managers of Retail Sales Workers,Retail,26700,Annually
Certified-Expired,H-1B,10/20/2011,NORTHEAST ARC,MA,Rehabilitation Counselors,Other Economic Sector,27477,Annually
Certified-Expired,Others,10/12/2011,MICHELLE BEAUTY SUPPLY INC.,IL,"Hairdressers, Hairstylists, and Cosmetologists",Retail,27685,Annually
Certified,F-1,12/12/2011,"KENDALL L HOUGHTON, PRIVATE HOUSEHOLD",MD,"Cooks, Private Household",Other Economic Sector,27726,Annually
Certified,Others,12/23/2011,APOLLO BAKERY INC.,NY,"Bakers, Bread and Pastry",Advanced Mfg,27893,Annually
Certified-Expired,Others,10/21/2011,NORA MANUFACTURING INC.,VA,Fabric and Apparel Patternmakers,Advanced Mfg,27955,Annually
Certified,H-1B,11/28/2011,ATLANTA RADIO KOREA INC,GA,Interpreters and Translators,Other Economic Sector,28300,Annually
Certified-Expired,F-1,10/25/2011,DU  JAPON  HAIR  CLUB,CA,"Hairdressers, Hairstylists, and Cosmetologists",Other Economic Sector,28475,Annually
Certified-Expired,Others,10/17/2011,BURNS LANDSCAPE MANAGEMENT LLC,NJ,Stonemasons,Construction,28496,Annually
Denied,Others,11/1/2011,JORDAN SPECIALTY FOOD,NJ,Bakers,Advanced Mfg,28642,Annually
Denied,O-1,10/24/2011,"NOVAKS GYMNASTICS CENTER, INC.",VA,Coaches and Scouts,Educational Services,29470,Annually
Certified-Expired,Others,10/25/2011,"PETERSON AND COLLINS, INC.",DC,Helpers--Carpenters,Construction,29827,Annually
Certified-Expired,Others,10/27/2011,ALLIANCE MISSIONARY CHURCH,MN,"Directors, Religious Activities and Education",Other Economic Sector,29827,Annually
Denied,Others,10/26/2011,790 FRENCH LLC,NY,"Cooks, Restaurant",Other Economic Sector,29869,Annually
Certified-Expired,H-1B,10/20/2011,UNION COLLEGE,KY,Coaches and Scouts,Educational Services,30000,Annually
Certified,L-1,12/6/2011,"FINE VIDEO PRODUCTION, INC.",GU,Technical Directors/Managers,IT,30000,Annually
Certified-Expired,H-1B,10/7/2011,FAIRYLAND NURSERY SCHOOL,IL,"Kindergarten Teachers, Except Special Education",Other Economic Sector,30070,Annually
Denied,Others,12/13/2011,"PAO DE MEL BAKERY, LLC",NJ,Bakers,Advanced Mfg,30326,Annually
Certified-Expired,Others,10/20/2011,"HART HERITAGE, INC.",MD,Landscaping and Groundskeeping Workers,Health Care,30701,Annually
Certified,Others,12/8/2011,GLEN BURNIE C2 EDUCATION CENTER INC.,MD,Instructional Coordinators,Educational Services,30763,Annually
Certified,Others,12/16/2011,"JOONG-ANG DAILY NEWS ATLANTA, INC.",GA,Graphic Designers,Other Economic Sector,31013,Annually
Denied,Others,10/14/2011,"EXPRESS MACHINERY, INC.",MA,File Clerks,Other Economic Sector,31138,Annually
Certified-Expired,Others,10/28/2011,CELAYA BAKERY,CA,"Bakers, Manufacturing",Advanced Mfg,31138,Annually
Denied,Others,10/3/2011,"TATCO INSTALLATIONS, INC.",NY,Cabinetmakers and Bench Carpenters,Advanced Mfg,31325,Annually
Certified,Others,12/12/2011,SHERYL WOLKOWITZ,NY,Maids and Housekeeping Cleaners,Other Economic Sector,31470,Annually
Certified,Others,12/23/2011,KCP INC.,SC,"Bookkeeping, Accounting, and Auditing Clerks",Retail,31491,Annually
Denied,F-1,10/25/2011,"CLEAN CASTLE, INC.",MD,Shop and Alteration Tailors,Other Economic Sector,31600,Annually
Denied,Others,12/7/2011,"LA PIANA, INC., DBA TUTTO ITALIANO",MA,Bakers,Retail,31699,Annually
Denied,Others,12/8/2011,"LA PIANA, INC., DBA TUTTO ITALIANO",MA,Bakers,Retail,31699,Annually
Denied,Others,12/27/2011,TIRUPATI INC,FL,"Bookkeeping, Accounting, and Auditing Clerks",Retail,32094,Annually
Certified,Others,11/16/2011,"NEWS KOREA TEXAS, INC.",TX,Reporters and Correspondents,Other Economic Sector,32500,Annually
Denied,H-1B,12/7/2011,WILSON COUNTY SCHOOLS,NC,"Middle School Teachers, Except Special and Vocational Education",Educational Services,32600,Annually
Denied,Others,10/25/2011,"HIBACHI JAPAN, INC.",PA,"Bookkeeping, Accounting, and Auditing Clerks",Hospitality,32822,Annually
Denied,Others,12/14/2011,"ASSI SUPER, INC.",CA,Graphic Designers,Retail,33114,Annually
Denied,H-1B,10/25/2011,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,MD,"Preschool Teachers, Except Special Education",Educational Services,33312,Annually
Denied,Others,10/27/2011,LIGHT RESTAURANTS LLC,OH,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Hospitality,33312,Annually
Certified,Others,12/13/2011,PASTICCERIA ROCCO,NY,Waiters and Waitresses,Hospitality,33530,Annually
Denied,Others,10/20/2011,M J CONCRETE,TX,Cement Masons and Concrete Finishers,Construction,33675,Annually
Withdrawn,H-1B,10/4/2011,"KABUKI RESTAURANTS,INC.",CA,Graphic Designers,Hospitality,33821,Annually
Certified,H-1B,12/6/2011,"FORMSOLUTIONS, INC.",CA,Graphic Designers,Other Economic Sector,33821,Annually
Certified,J-1,12/20/2011,"THE ASIA NETWORK ENTERPRISE, INC",CA,Graphic Designers,Other Economic Sector,33821,Annually
Certified,B-1,12/23/2011,A & J MAINTENANCE COMPANY,VA,Janitorial Supervisors,Other Economic Sector,33925,Annually
Certified-Expired,Others,10/24/2011,"MALABARHILL ENTERPRISES,INC.",NY,"Cooks, Restaurant",Hospitality,34247,Annually
Denied,Others,10/25/2011,"TORO GRANITE, INC.",GA,Stonemasons,Construction,34424,Annually
Certified-Expired,Others,10/17/2011,"LONDONWOOD COMPANY,INC",MD,First-Line Supervisors/Managers of Retail Sales Workers,Retail,34445,Annually
Withdrawn,Others,10/19/2011,"K & B PRODUCTIONS, INC.",PA,"Shipping, Receiving, and Traffic Clerks",Other Economic Sector,34486,Annually
Denied,Others,11/25/2011,JEWISH COMMUNITY CENTER OF S.I.,NY,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Other Economic Sector,34840,Annually
Certified-Expired,H-1B,10/20/2011,"LITTLE BROOK DAIRY, INC.",MN,Animal Scientists,Agribusiness,35000,Annually
Certified,F-1,12/12/2011,"UNIVERSAL METALS, INC.",NY,Logisticians,Other Economic Sector,35110,Annually
Certified-Expired,Others,10/28/2011,"ASSISTED LIVING MGMT. SERVICES, INC.",AZ,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,Health Care,35110.11,Annually
Certified-Expired,F-1,10/21/2011,RIKYU LLC DBA NAKED-FISH'S SUSHI & GRILL,NV,"Cooks, Restaurant",Hospitality,35260,Annually
Certified-Expired,F-1,10/20/2011,"PASHA, INC. D/B/A PASHA MEZZE",VA,"Compensation, Benefits, and Job Analysis Specialists",Hospitality,35298,Annually
Denied,Others,10/25/2011,KREIS JEWELRY USA CORP,CA,Jewelers and Precious Stone and Metal Workers,Other Economic Sector,36254,Annually
Denied,J-1,12/15/2011,MURPHY BROWN LLC,VA,Farmers and Ranchers,Agribusiness,36442,Annually
Certified,H-1B,11/3/2011,THE HEBREW HOME FOR THE AGED AT RIVERDALE,NY,Web Developers,Health Care,36764,Annually
Denied,H-1B,10/21/2011,MAYFLOWER GREENHOUSE,WI,Nursery and Greenhouse Managers,Agribusiness,36899,Annually
Certified,F-1,12/8/2011,HANBIT CHURCH,CA,"Directors, Religious Activities and Education",Other Economic Sector,36999,Annually
Denied,Others,12/21/2011,PINNACLE ENVIRONEMNTAL CORP,NY,Hazardous Materials Removal Workers,Other Economic Sector,37024,Annually
Denied,B-1,12/22/2011,PINNACLE ENVIRONEMNTAL CORP,NY,Hazardous Materials Removal Workers,Other Economic Sector,37024,Annually
Denied,Others,12/9/2011,PINNACLE ENVIRONEMNTAL CORP,NY,Hazardous Materials Removal Workers,Other Economic Sector,37024,Annually
Denied,Others,12/21/2011,PINNACLE ENVIRONEMNTAL CORP,NY,Hazardous Materials Removal Workers,Other Economic Sector,37024,Annually
Denied,Others,12/12/2011,PINNACLE ENVIRONEMNTAL CORP,NY,Hazardous Materials Removal Workers,Other Economic Sector,37024,Annually
Withdrawn,H-1B,10/27/2011,"V-SOFT CONSULTING GROUP, INC.",KY,Operations Research Analysts,IT,37398,Annually
Certified-Expired,H-1B,10/20/2011,DALLAS INTERNATIONAL SCHOOL,TX,"Kindergarten Teachers, Except Special Education",Educational Services,37440,Annually
Certified,H-1B,12/29/2011,GREENVILLE PUBLIC SCHOOL DISTRICT,MS,"Secondary School Teachers, Except Special and Vocational Education",Educational Services,37476,Annually
Denied,H-1B,12/23/2011,INTERNATIONAL COMMUNITY SCHOOL,GA,Instructional Coordinators,Other Economic Sector,37544,Annually
Denied,Others,11/23/2011,VIRGINIA ARTS FESTIVAL,VA,Music Directors,Other Economic Sector,37606,Annually
Denied,Others,10/28/2011,"K & J EDUCATION FOUNDATION, INC",CA,Market Research Analysts,Educational Services,37669,Annually
Denied,H-1B,12/16/2011,"BETHESDA HEALTHCARE SYSTEM, INC",FL,Medical and Clinical Laboratory Technologists,Health Care,37794,Annually
Denied,F-1,10/21/2011,"PANACURE, INC.",CA,"Health Diagnosing and Treating Practitioners, All Other",Health Care,37856,Annually
Certified-Expired,H-1B,10/25/2011,GENERAL ELECTRIC COMPANY (GE ENERGY),TX,Operations Research Analysts,Advanced Mfg,37939,Annually
Certified,H-1B,12/14/2011,TYLER ISD,TX,"Elementary School Teachers, Except Special Education",Educational Services,38000,Annually
Certified,H-1B,12/14/2011,TYLER ISD,TX,"Elementary School Teachers, Except Special Education",Educational Services,38000,Annually
Certified,F-1,12/9/2011,"CHOSUN DAILY NEWS, LLC",GA,Reporters and Correspondents,Other Economic Sector,38000,Annually
Certified,H-1B,12/27/2011,COLLEGE OF IDAHO,ID,"Educational, Vocational, and School Counselors",Educational Services,38000,Annually
Denied,Others,10/25/2011,"ARIRANG OF JAPAN, INC.",TX,Chefs and Head Cooks,Hospitality,38000,Annually
Certified-Expired,F-1,10/27/2011,SHOGUN.INC.DBA SHOGUN JAPANESE STEAK HOUSE,GA,Chefs and Head Cooks,Hospitality,38000,Annually
Denied,Others,11/16/2011,CUSTOMCRAFT UPHOLSTERS INC,CA,"Bookkeeping, Accounting, and Auditing Clerks",Other Economic Sector,38002,Annually
Denied,Others,11/2/2011,GOOFY LOOFAH INC.,CA,Market Research Analysts,Other Economic Sector,38064,Annually
Certified,Others,12/22/2011,MITSUI-SOKO (U.S.A.) INC.,CA,Market Research Analysts,Other Economic Sector,38064,Annually
Denied,H-1B,10/28/2011,"GARY J SCHUMMER, PHD, APC",CA,Market Research Analysts,Other Economic Sector,38064,Annually
Certified-Expired,F-1,11/2/2011,WORLDWIDE COMMUNICATIONS INC.,GA,"Bookkeeping, Accounting, and Auditing Clerks",Retail,38106,Annually
Denied,Others,12/23/2011,"TER-ABRAMYAN, INC",CA,Automotive Master Mechanics,Automotive,38397,Annually
Denied,B-1,12/27/2011,"CALIFORNIA Z CARS, INC.",CA,Automotive Master Mechanics,Automotive,38397,Annually
Certified-Expired,H-1B,10/7/2011,"WORLD CLASS TAE KWON DO, INC.",NY,Fitness Trainers and Aerobics Instructors,Other Economic Sector,38400,Annually
Denied,Others,10/21/2011,SUPREME CONSTRUCTION CORP,FL,Cabinetmakers and Bench Carpenters,Construction,38626,Annually
Certified,H-1B,12/23/2011,DUKE UNIVERSITY AND MEDICAL CENTER,NC,Chemists,Educational Services,39000,Annually
Certified-Expired,H-1B,10/28/2011,PORTER RANCH MEDICAL CENTER,CA,Dietitians and Nutritionists,Health Care,39333,Annually
Certified-Expired,Others,10/20/2011,BISTRO WASABI LLC,IL,Chefs and Head Cooks,Hospitality,39374,Annually
Denied,Others,10/25/2011,EVANS SPORTING GOODS,CA,Fabric and Apparel Patternmakers,Advanced Mfg,39374,Annually
Certified-Expired,H-1B,10/24/2011,"MINAKO AMERICA CORPORATION, DBA: MINCO",CA,Accountants,Construction,39520,Annually
Certified-Expired,H-1B,10/26/2011,SCHOOL DISTRICT OF THE CITY OF DETROIT,MI,"Special Education Teachers, Middle School",Educational Services,39647,Annually
Denied,Others,12/19/2011,"HANDPIECE SOLUTIONS, INC.",NV,Market Research Analysts,Advanced Mfg,39728,Annually
Certified-Expired,L-1,11/2/2011,"OSI SYSTEMS, INC.",CA,Computer Support Specialists,Advanced Mfg,39874,Annually
Certified,H-1B,11/23/2011,"ROSEVILLE AREA SCHOOLS, ISD623",MN,"Education, Training, and Library Workers, All Other",Educational Services,39880.8,Annually
Certified,H-1B,11/4/2011,ALBANY STATE UNIVERSITY,GA,"Art, Drama, and Music Teachers, Postsecondary",Educational Services,40000,Annually
Denied,H-1B,12/1/2011,"MARUZEN OF AMERICA, INC.",CA,Market Research Analysts,Transportation,40000,Annually
Denied,H-1B,10/24/2011,"APPALACHIAN REGIONAL HEALTHCARE, INC",KY,Medical and Clinical Laboratory Technologists,Health Care,40000,Annually
Denied,H-1B,10/27/2011,"APPALACHIAN REGIONAL HEALTHCARE, INC",KY,Medical and Clinical Laboratory Technologists,Health Care,40000,Annually
Denied,H-1B,10/27/2011,"APPALACHIAN REGIONAL HEALTHCARE, INC",KY,Medical and Clinical Laboratory Technologists,Health Care,40000,Annually
Denied,H-1B,10/27/2011,"APPALACHIAN REGIONAL HEALTHCARE, INC",KY,Medical and Clinical Laboratory Technologists,Health Care,40000,Annually
Certified-Expired,H-1B,10/21/2011,"APPALACHIAN REGIONAL HEALTHCARE, INC",KY,Medical and Clinical Laboratory Technologists,Health Care,40000,Annually
Certified-Expired,H-1B,10/21/2011,"APPALACHIAN REGIONAL HEALTHCARE, INC",KY,Medical and Clinical Laboratory Technologists,Health Care,40000,Annually
Certified-Expired,F-1,10/20/2011,"APPALACHIAN REGIONAL HEALTHCARE, INC",KY,Medical and Clinical Laboratory Technologists,Health Care,40000,Annually
Certified-Expired,H-1B,10/7/2011,EASTERN UNIVERSITY/PALMER THEOLOGICAL SEMINARY,PA,"Business Teachers, Postsecondary",Educational Services,40000,Annually
Denied,Others,11/29/2011,FOLEY PLUMBING,VA,Plumbers,Construction,40040,Annually
Denied,Others,11/22/2011,DOO TAEK LIM,CA,"Billing, Cost, and Rate Clerks",Health Care,40123,Annually
Certified,F-1,12/8/2011,GREAT LIGHT ZOEUN FULLERTON JOEUN CHURCH,CA,Clergy,Other Economic Sector,40310,Annually
Denied,H-1B,12/14/2011,NOOR ENTERPRISE,OH,Lodging Managers,Hospitality,40373,Annually
Denied,Others,12/16/2011,PELHAM COUNTRY CLUB INC.,NY,"Maintenance and Repair Workers, General",Other Economic Sector,40581,Annually
Denied,H-1B,12/19/2011,SAINT LUCIE COUNTY SCHOOL BOARD,FL,"Secondary School Teachers, Except Special and Vocational Education",Other Economic Sector,40641,Annually
Denied,F-1,11/1/2011,"C & S BEAUTY, INC.",MD,Procurement Clerks,Retail,40643,Annually
Certified-Expired,H-1B,10/7/2011,"BUY AND GO, INC.",NC,Accountants and Auditors,Retail,40664,Annually
Certified,H-1B,12/23/2011,CALUMET PUBLIC SCHOOL DISTRICT 132,IL,"Middle School Teachers, Except Special and Vocational Education",Educational Services,40666,Annually
Certified-Expired,F-1,10/25/2011,"TAC, INC",TN,Chefs and Head Cooks,Hospitality,40726,Annually
Denied,H-1B,12/22/2011,MERCER COUNTY HOSPITAL,IL,Medical and Clinical Laboratory Technologists,Health Care,40768,Annually
Certified,F-1,12/15/2011,INTERNATIONAL CALVARY CHURCH,VA,Instructional Coordinators,Other Economic Sector,41059,Annually
Denied,Others,10/21/2011,LUISA SAAVEDRA MD,NY,"Secretaries, Except Legal, Medical, and Executive",Health Care,41142,Annually
Certified-Expired,Others,10/24/2011,"DC GROUP, INC., D.B.A. UNIQUESETTINGS OF NEW YORK",NY,Jewelers and Precious Stone and Metal Workers,Other Economic Sector,41454,Annually
Certified,O-1,12/15/2011,"GURHAN NEW YORK, INC",NY,Jewelers,Advanced Mfg,41454,Annually
Certified,H-1B,12/19/2011,"OMAHA PUBLIC SCHOOLS, DISTRICT 001",NE,"Secondary School Teachers, Except Special and Vocational Education",Educational Services,41490.4,Annually
Certified,H-1B,11/18/2011,UNIVERSITY OF IOWA,IA,Physicists,Educational Services,41496,Annually
Certified,H-1B,12/16/2011,THE SHAMS GROUP,TX,Operations Research Analysts,IT,41516,Annually
Denied,H-1B,12/21/2011,UNIVERSITY OF TEXAS AT SAN ANTONIO,TX,"Education Administrators, Postsecondary",Educational Services,41517,Annually
Certified-Expired,H-1B,10/5/2011,"HORNY TOAD ACTIVEWEAR INC.,",CA,Market Research Analysts,Other Economic Sector,41517,Annually
Certified,F-1,12/22/2011,THE KOREAN BAPTIST CHURCH OF NEW JERSEY,NJ,"Directors, Religious Activities and Education",Other Economic Sector,41579,Annually
Certified,H-1B,12/15/2011,TEXAS A&M UNIVERSITY-KINGSVILLE,TX,Biochemists and Biophysicists,Educational Services,41593.2,Annually
Denied,H-1B,12/21/2011,TRIPLEPOINT,NY,Public Relations Specialists,Other Economic Sector,41850,Annually
Denied,H-1B,12/7/2011,MOUNT DESERT ISLAND HOSPITAL,ME,Medical and Clinical Laboratory Technologists,Health Care,41954,Annually
Denied,H-1B,11/22/2011,THE CURATORS OF THE UNIVERSITY OF MISSOURI,MO,"Foreign Language and Literature Teachers, Postsecondary",Educational Services,42127,Annually
Certified,Others,12/5/2011,"REDAC, INC.",NY,Market Research Analysts,Other Economic Sector,42182,Annually
Certified-Expired,Others,10/21/2011,V.I.P NAILS & SPA,IL,First-Line Supervisors/Managers of Personal Service Workers,Other Economic Sector,42224,Annually
Certified-Expired,H-1B,10/25/2011,"EMC2 MECHANICAL, INC.",GU,Mechanical Engineers,Aerospace,42264,Annually
Certified,Others,12/1/2011,THE UNIVERSITY OF SOUTH DAKOTA,SD,"Chemistry Teachers, Postsecondary",Educational Services,42380,Annually
Denied,Others,10/20/2011,ALEX MOVING & STORAGE DBA URIBE TRUCKING,CA,Automotive Master Mechanics,Other Economic Sector,42411,Annually
Certified,Others,12/8/2011,YI-SUN CHIU COMPANY INC DBA ACE AUTO,HI,Automotive Master Mechanics,Automotive,42494,Annually
Certified-Expired,H-1B,10/14/2011,TEXAS A&M AGRILIFE RESEARCH,TX,Zoologists and Wildlife Biologists,Educational Services,42536,Annually
Denied,Others,10/25/2011,SHELLEY'S PRIME MEATS,NJ,First-Line Supervisors/Managers of Food Preparation and Serving Workers,Advanced Mfg,42598,Annually
Certified,J-1,12/8/2011,FLEETCO TRUCK LUBE & MOBILE REPAIRS LLC,IL,Automotive Master Mechanics,Automotive,42598,Annually
Certified,H-1B,12/6/2011,CVK SUBS INC,VA,"Bookkeeping, Accounting, and Auditing Clerks",Hospitality,42661,Annually
Withdrawn,H-1B,10/20/2011,HOLLISTER SCHOOL DISTRICT,CA,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",Educational Services,42848,Annually
Certified-Expired,H-1B,10/28/2011,WORLD EDUCATION SERVICES,NY,"Education, Training, and Library Workers, All Other",Educational Services,42870,Annually
Certified,H-1B,11/30/2011,PSICOAXIS CORPORATION,FL,Executive Secretaries and Administrative Assistants,Health Care,43000,Annually
Certified,Others,12/6/2011,"FASHION LA FAMA, INC.",MD,"Bookkeeping, Accounting, and Auditing Clerks",Retail,43222,Annually
Certified,H-1B,12/7/2011,"CD RESTAURANTS, INC.",VA,Food Service Managers,Hospitality,43264,Annually
Denied,H-1B,12/21/2011,SUNNY'S EXECUTIVE SEDAN SERVICE INC,VA,Market Research Analysts,Transportation,43389,Annually
Denied,H-1B,12/7/2011,PACIFIC RAINBOW INTERNATIONAL INC,CA,Accountants,Other Economic Sector,43410,Annually
Certified,H-1B,12/22/2011,BALTIMORE CITY PUBLIC SCHOOL SYSTEM,MD,"Special Education Teachers, Middle School",Educational Services,43440,Annually
Certified,H-1B,12/30/2011,SPELMAN COLLEGE,GA,Instructional Coordinators,Educational Services,43500,Annually
Denied,H-1B,12/16/2011,EMERALD COAST TITLE SERVICES INC.,FL,Financial Analysts,Other Economic Sector,43622.4,Annually
Certified,H-1B,12/22/2011,SAN MARCOS CONSOLIDATED INDEPENDENT SCHOOL DISTRIC,TX,"Elementary School Teachers, Except Special Education",Educational Services,43700,Annually
Denied,H-1B,10/24/2011,WEST LEGEND CORP.,NY,Market Research Analysts,Construction,43784,Annually
